,Topic,Time Queried,Title,Video IDs,Published At,Duration,View Count,Like Count,Dislike Count
69,Data Structures,2020-08-21 22:07:15.170873,Data structures: Introduction to Trees,qH6yxkw0u78,2014-01-12T08:06:59Z,PT15M50S,1068334,10534,229
70,Data Structures,2020-08-21 22:07:15.170879,Real Life Projects 😎using Data Structures &amp; Algorithms for Resume | Course Giveaways  🔥,iIumrTpJBjk,2020-05-14T17:37:42Z,PT59M33S,20352,695,20
71,Data Structures,2020-08-21 22:07:15.170885,Introduction to Big O Notation and Time Complexity (Data Structures &amp; Algorithms #7),D6xkbGLQesk,2018-05-14T04:36:32Z,PT36M22S,841163,18545,371
72,Data Structures,2020-08-21 22:07:15.170895,Important Data Structures and Algorithms for Coding Interviews,aqjy-XYmNi8,2018-09-29T04:44:24Z,PT13M28S,66301,1869,39
73,Data Structures,2020-08-21 22:07:15.170902,"Binary tree traversal | Preorder , Inorder &amp; Postorder | Data Structures | Lec-29 | Bhanu Priya",RDlDqPdP4bU,2018-07-31T13:39:42Z,PT7M32S,24368,196,12
74,Data Structures,2020-08-21 22:07:15.170908,Linked List Basics | Learn Data Structures in Tamil | Mothertong Tamil,ZyOZQ1dCzMM,2020-04-25T10:16:25Z,PT5M8S,1398,59,0
75,Data Structures,2020-08-21 22:07:15.170914,1.4 Pointers and arrays | Data structure,4Rll-_e9-0M,2019-07-27T10:30:56Z,PT25M5S,49264,1041,14
76,Data Structures,2020-08-21 22:07:15.170921,2.19 Doubly Circular Linked List - Creation and Display | Data Structures,eBCTtS_sptM,2019-09-01T05:35:12Z,PT20M27S,13329,207,4
77,Data Structures,2020-08-21 22:07:15.170927,TREE TERMINOLOGY - DATA STRUCTURES,-LYhq4WZ04s,2019-07-09T06:22:50Z,PT30M12S,25847,635,23
78,Data Structures,2020-08-21 22:07:15.170933,Searching in Binary Search Tree | Algo &amp; Example | Data Structures | Lec-37 | Bhanu Priya,Y5rCIBa5edg,2018-08-07T02:30:50Z,PT3M57S,19142,165,3
79,Data Structures,2020-08-21 22:07:15.170938,2.4 Linked List implementation in C/C++ | creation and display | data structures,6wXZ_m3SbEs,2019-08-13T11:09:22Z,PT29M1S,179999,3051,92
80,Data Structures,2020-08-21 22:07:15.170944,5.23 Introduction to B-Trees | Data structures,94ErZ5K8XZg,2019-01-20T21:28:17Z,PT9M43S,125429,1600,80
81,Data Structures,2020-08-21 22:07:15.170950,Lecture - 1 Introduction to Data Structures and Algorithms,zWg7U0OEAoE,2008-09-24T08:46:22Z,PT53M31S,1838704,5191,242
82,Data Structures,2020-08-21 22:07:15.170956,Single Linked List Operations | Data Structures Tutorial | Mr. Srinivas,o1QaGUEi6ew,2016-09-26T21:39:43Z,PT20M33S,547695,5161,160
