,Topic,Time Queried,Title,Video IDs,Published At,Duration,View Count,Like Count,Dislike Count
51,Data Structures,2020-08-20 16:23:25.842265,Coursera: Python Data Structures Complete Course Assignment Solutions |Python Data Structures Answer,vIoEDdSzmcg,2020-08-04T04:24:48Z,PT1H43M34S,1267,36,0
52,Data Structures,2020-08-20 16:23:25.842267,JavaScript Data Structures: Getting Started,41GSinwoMYA,2020-08-06T15:00:02Z,PT1H36M47S,40520,2234,11
53,Data Structures,2020-08-20 16:23:25.842269,What is Data Structure | classification of Data Structure | #DataStructure,x6n0xDyCLMA,2020-04-18T12:41:16Z,PT3M48S,1313,48,2
54,Data Structures,2020-08-20 16:23:25.842271,Arrays (Part-1) | Programming and Data Structures | GATE/ESE 2021 Exam Preparation | Shefali Singla,LC7LwuuBxrs,2020-06-11T16:02:59Z,PT1H11M9S,1069,53,1
55,Data Structures,2020-08-20 16:23:25.842273,Stack Abstract Data Type | Insertion &amp; Deletion | Data Structures | Lec-11 | Bhanu Priya,WL4InYgz1bE,2018-07-25T16:08:40Z,PT4M31S,20883,154,7
56,Data Structures,2020-08-20 16:23:25.842274,"INORDER,PREORDER,POSTORDER TREE TRAVERSAL DATA STRUCTURES",TMEa6E-KBW8,2017-06-15T12:40:31Z,PT5M57S,221177,2273,380
57,Data Structures,2020-08-20 16:23:25.842276,21. Problems on Data Structures - Arrays | C++ Placement Course,dGCHUWKC8eQ,2019-11-20T13:43:42Z,PT33M27S,20093,382,14
58,Data Structures,2020-08-20 16:23:25.842279,Sets (data structure) - Beau teaches JavaScript,wl8u02IdVxo,2017-03-05T14:00:06Z,PT10M23S,22638,212,3
59,Data Structures,2020-08-20 16:23:25.842281,DATA STRUCTURES DIGITAL ASSISTANT TEST-2,uIZ7wHW9-Pg,2019-08-08T08:58:32Z,PT12M10S,23799,340,5
60,Data Structures,2020-08-20 16:23:25.842283,Data Structures Interview Questions,ZM-bmqqtwTU,2019-03-13T15:28:30Z,PT46M57S,8465,187,5
61,Data Structures,2020-08-20 16:23:25.842284,#02 [Data Structures] - Introduction To Stack,vdPNQzgBu_I,2019-04-25T21:50:09Z,PT7M5S,25255,377,0
62,Data Structures,2020-08-20 16:23:25.842286,Data Structures and Algorithms - Advanced Java Programming Tutorial,n0GjRXs0jTk,2020-02-03T12:59:40Z,PT5H56M15S,18592,658,9
63,Data Structures,2020-08-20 16:23:25.842288,สอน Data Structures &amp; Algorithms #1 - รู้จักกับโครงสร้างข้อมูล,PHZi_y7Vjik,2019-08-11T17:40:23Z,PT10M40S,8080,181,1
64,Data Structures,2020-08-20 16:23:25.842290,Complete Data Structure Tutorial DS by Scientific Method  Full data structure in one video,R5KoLStSo7A,2019-09-01T20:35:34Z,PT1H21M11S,3398,80,11
65,Data Structures,2020-08-20 16:23:25.842291,What is Stack Data Structure ? | Data Structure and Algorithms (DSA) | Part - 1,r7P9sy5Rar8,2019-03-15T15:00:06Z,PT15M13S,32857,772,10
66,Data Structures,2020-08-20 16:23:25.842293,N Ary Tree | Data Structures,jiR8SLAOglw,2020-04-05T15:30:04Z,PT10M5S,2028,33,2
67,Data Structures,2020-08-20 16:23:25.842295,Introduction to Big O Notation and Time Complexity (Data Structures &amp; Algorithms #7),D6xkbGLQesk,2018-05-14T04:36:32Z,PT36M22S,839618,18507,371
68,Data Structures,2020-08-20 16:23:25.842297,5.1 Tree in data structure | Introduction to trees | Data structures,YAdLFsTG70w,2019-10-04T14:49:26Z,PT29M17S,151142,2288,36
69,Data Structures,2020-08-20 16:23:25.842298,6.5 Prim&#39;s Algorithm for Minimum Spanning Tree | Data structures,ZtZaR7EcI5Y,2019-01-25T04:52:01Z,PT10M22S,152617,2549,85
70,Data Structures,2020-08-20 16:23:25.842300,Data Structures in Python: Stack -- The Stack Data Structure,lVFnq4zbs-g,2017-05-04T22:07:19Z,PT10M40S,113947,1275,18
71,Data Structures,2020-08-20 16:23:25.842302,Evaluation of Postfix Expression | Examples | Data Structures | Lec-20 | Bhanu Priya,84BsI5VJPq4,2018-07-25T16:05:49Z,PT4M23S,44634,568,27
72,Data Structures,2020-08-20 16:23:25.842306,Deleted all playlists of Data Structure,ltIDoD05iV4,2020-04-11T15:05:59Z,PT4M19S,54261,1325,55
73,Data Structures,2020-08-20 16:23:25.842308,Creation of Stack in DS | Data Structures Tutorial | Mr. Srinivas,Y1vSGA0jm5E,2016-09-23T21:24:00Z,PT32M22S,280565,2940,70
74,Data Structures,2020-08-20 16:23:25.842310,Data Structures - Class - 2 || Digital Assistant Model Papers - 2020 || Grama/Ward Sachivalayam 2020,vWvHpS0vV9E,2020-03-07T00:54:04Z,PT35M25S,5981,87,10
75,Data Structures,2020-08-20 16:23:25.842312,Set And Dictionary | Data Structures | Python Tutorials,APY_pYeMRkw,2020-07-29T01:15:01Z,PT10M38S,722,43,0
76,Data Structures,2020-08-20 16:23:25.842313,Data Structures : Linked List an  example with property in {தமிழ்},SJwiDH53ZPw,2017-07-07T07:41:28Z,PT9M17S,13301,449,5
77,Data Structures,2020-08-20 16:23:25.842315,#5 Linked List Implementation in Java Part 1 | Data Structures,SMIq13-FZSE,2017-12-22T11:47:31Z,PT23M5S,329880,3646,156
